Target,Prediction,Prediction_SRPPHAT,Prediction_MUSIC,T60,SNR,Signal Type
65.0,64.86991014113062,64.88116667262314,64.94551748509807,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
63.0,62.9587918627511,62.7713953521117,62.932003748696964,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
33.0,33.38096901688132,32.66961319694404,32.96852201162666,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
70.0,69.78306101379164,70.03230405529982,70.01438920521375,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
39.0,39.1716609801824,38.76462251167165,38.92563892918578,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
71.0,71.0,71.0,71.0,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
3.0,3.2542513956169747,2.7966294361953628,2.9841688728952334,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
64.0,64.27740384408474,64.17514227917991,63.98895405225842,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
7.0,6.585497374541388,7.175764659401076,7.403925201125203,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
70.0,69.99645334837636,70.07519915896661,70.05159946262283,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
18.0,18.023477902052434,18.210925809236073,18.051945945626695,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
69.0,69.22051420731825,68.5926363261976,68.73328908744746,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
58.0,57.911751630987105,58.113409781605164,57.859030977601144,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
55.0,55.733295202282164,54.969824760668374,55.005539790085805,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
2.0,2.0720030527468998,1.8883702782688938,2.0398751687925096,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
24.0,24.378889574217045,24.11252438761367,24.018358569285557,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
58.0,57.82622621066007,58.04752074342206,58.233361157179395,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
29.0,28.71168898205274,28.884757714600454,28.951385468663403,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
57.0,56.812476019285235,56.76586546612498,56.9750952851708,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
6.0,5.873649790388216,5.7711536906259795,5.75437830068899,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
63.0,63.15404559050747,62.97225184451506,63.01391093701156,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
35.0,34.99944371010968,34.729868395760136,34.858823384556395,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
70.0,69.8507964449085,70.26188358837526,70.12699944207529,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
67.0,66.85593555599978,67.18620155279012,66.94745916784457,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
49.0,49.02916814490261,48.74334633924575,48.889161071765386,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
48.0,48.113000977664186,48.23515761296669,48.12774142245649,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
67.0,67.1428728415668,66.92321032833036,66.91574795939543,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
68.0,68.14079405239303,68.02628812864441,67.98922479443395,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
7.0,6.9600315783595414,6.896257592413888,6.914745604444316,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
12.0,12.00551914269598,12.137535738685067,12.007770945959221,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
15.0,14.694312269246158,15.227178452779038,15.389184981461513,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
53.0,53.03358272189368,53.111483723761445,53.00230358201009,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
5.0,5.241015666583869,5.156322073873626,5.209056118070442,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
66.0,66.17928562474037,66.41410676265643,66.27746363079184,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
10.0,9.923322538707426,10.079096610306784,10.048169626732586,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
68.0,67.82993141993322,68.04019041210582,68.05032347106905,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
0.0,0.12361910965767955,0.0,0.0,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
25.0,25.090132453495713,25.042508087003302,24.981936655279025,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
24.0,24.31018080734832,24.12048828479652,24.075487183801275,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
