Target,Prediction,Prediction_SRPPHAT,Prediction_MUSIC,T60,SNR,Signal Type
8.0,7.576809661047796,8.201929444135555,8.045608357943973,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
45.0,44.50368800266278,45.009062377596855,45.19048945881694,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
13.0,12.90216582930625,12.989781992728044,12.97657476138472,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
61.0,61.35141727323969,60.836382465461966,60.678056741493045,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
31.0,31.371727949322672,31.127758871236633,31.00527353808891,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
16.0,16.05547837279288,15.815069030824938,15.919293754239934,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
20.0,19.981912388657964,20.13540691100031,20.077727731322856,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
64.0,64.49795894031931,64.0546333507145,63.74786491557125,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
19.0,18.865243936062555,18.945667654761326,18.985436197708374,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
55.0,54.72429323430594,54.45862384918187,54.29254486425077,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
50.0,49.57526808565867,50.17974226975826,50.155233621873634,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
26.0,25.942570655507577,26.01375344778788,25.981382819542862,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
4.0,4.216541328999825,3.795389253718042,3.8710191204632456,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
12.0,11.902577359404976,12.126347817673214,12.120621002904912,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
0.0,71.0,0.0,0.6603308296534186,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
1.0,0.8748907600747445,0.8925851202978821,0.9623702667565837,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
20.0,19.96338663947151,20.208990655547424,20.19047002321432,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
27.0,25.169957660889185,27.020883328474365,26.91378837084658,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
21.0,21.174667505877213,21.155773942984418,21.045947052343234,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
42.0,41.45216826662926,42.01375434679224,41.93070769016049,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
58.0,57.95423579920389,57.97525524930399,57.963754031860425,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
17.0,16.877851565534517,17.110861879649466,17.028056156815452,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
2.0,2.0093970646168144,1.750124698717437,1.9375378946712847,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
39.0,39.1832670103915,39.209929951928615,39.068104675107094,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
0.0,0.0,0.0,0.0,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
35.0,34.849423411391236,34.91523529833773,34.840045930872144,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
8.0,7.770858185527219,7.976436176265502,8.078214802488139,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
3.0,3.255106443283272,2.5229831660415454,2.8364524845107812,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
32.0,31.95343610413794,32.1982170296975,32.083696007108664,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
