Target,Prediction,Prediction_SRPPHAT,Prediction_MUSIC,T60,SNR,Signal Type
21.0,20.757014595318168,21.049340031626496,20.957729118973944,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
66.0,66.87239218130922,65.46080324299592,66.0408464228811,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
14.0,11.974869615198985,13.98429519566507,14.135626855646072,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
46.0,45.599665679467726,46.656156888440684,47.06071637605037,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
48.0,47.92867285666677,48.72201009633822,48.65818233548266,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
38.0,37.24051475985395,38.19670261552704,38.601803976458456,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
1.0,71.0,0.5826264258611207,0.7994037731408888,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
64.0,64.58658480399365,63.43947709420942,62.9586910667266,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
50.0,49.62627891481631,50.18886155910605,50.337695487658245,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
18.0,18.052368283766608,18.020676845406374,17.975472429685997,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
48.0,47.74077216691839,48.47631287881772,49.38800588464818,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
28.0,28.749404527893148,28.092214263495464,26.397527867521763,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
3.0,3.032134322368734,2.6181823694198707,2.6368943876029607,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
19.0,19.099372138907203,18.900883542227824,18.901782504203045,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
42.0,40.210510608291095,45.97383799454017,42.338154413718115,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
60.0,59.823627228167865,59.02158805179918,58.919484082062745,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
27.0,28.03379166349575,26.893067557055392,25.79482581473491,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
50.0,49.5272573621825,50.069210805967785,50.103826455582556,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
70.0,70.85717527532549,69.70311015498767,69.20570929696491,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
67.0,68.3356993831532,66.1443285575855,66.12926445563345,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
32.0,32.51090737334692,31.802725479649002,31.8630586172855,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
24.0,23.938412710446148,24.076474170942593,23.11597756673279,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
46.0,44.683423419483795,46.39914388087312,47.15347925180652,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
52.0,51.84385242180552,52.258525738231995,52.1698348114642,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
33.0,33.61757999522468,33.03678441330991,31.030404294974705,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
43.0,42.14657035404005,43.58738929774442,43.73931955745203,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
58.0,58.528341769659896,57.56441346469647,57.4840096452092,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
50.0,49.75224217111274,50.25269535888579,50.88392793333056,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
54.0,54.1696244071225,54.00567200761732,53.99892572605367,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
43.0,42.280667640803856,43.63514322171486,45.04049813733392,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
70.0,71.0,69.946703484385,69.67334940678461,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
48.0,47.67839121367101,48.3856256328918,48.72875619516959,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
29.0,34.313055312290196,27.849638376691427,26.381872518957696,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
67.0,67.80567297757621,66.491695669527,66.37023164746196,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
0.0,70.4907103234891,0.0,0.018710509886257616,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
68.0,69.34572560456445,67.88269350845619,66.0041099314312,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
24.0,23.679341166516622,23.85382525198793,23.78498653597974,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
12.0,11.929090503042405,11.381050229180921,11.881455051808679,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
17.0,17.020751823351258,17.03892481829877,17.01378937902732,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
19.0,19.133795875704735,18.983921372352732,18.990037668395058,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
38.0,36.529916431855845,37.9699227279351,38.04236826586728,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
13.0,13.344762216874424,13.16581067649283,13.127330302913913,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
21.0,20.627151942053516,20.671816719120898,20.289109018343204,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
10.0,10.561656596568605,10.88828681316872,11.25276715119242,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
14.0,14.389753857232645,13.941114232993016,14.05885274224314,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
32.0,32.986868971485585,32.416277873103,31.892583308768213,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
5.0,4.427728243540701,4.6234995612985434,4.975695155176731,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
22.0,21.614226688696135,22.10473684556158,21.936677143112178,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
8.0,7.324060999787589,7.9123097283797215,8.229841860855176,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
5.0,4.5798363068453645,5.173400670385202,4.984099772393565,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
10.0,9.881225748230618,10.252200878912443,10.175705691983861,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
11.0,10.980672238947125,10.73142840477602,11.054482631315688,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
21.0,20.938103507315358,21.061937024461844,20.389330345519546,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
38.0,37.06553299740771,37.461415294997444,37.899826909738955,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
20.0,20.13253080557033,19.827939527024284,19.676938328515668,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
71.0,70.00413934331898,70.97626505487422,70.32620313400521,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
17.0,16.997077808199634,17.381258319586635,17.07191375562781,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
3.0,2.616472726466001,2.6238091783593815,2.4989441902560507,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
60.0,60.09675572950966,59.57662177307926,59.737722450390336,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
70.0,70.98695284354751,69.75791547436776,69.44512541374792,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
27.0,27.29496700841158,27.109798078497565,26.671202377097924,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
25.0,25.000684121149423,25.150635763218038,25.035648835086445,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
49.0,49.05909176917396,49.454905424157644,49.440946586892224,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
13.0,13.290692023641979,12.911081170204554,12.992669985334697,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
56.0,55.8820471720959,55.586940863959896,55.52417374471797,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
7.0,6.210218563112746,7.0743258522173695,8.200628482853302,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
14.0,14.238268060357823,13.789389325693206,13.969812969573805,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
14.0,11.618451280891232,13.913940376550329,14.254559210790276,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
47.0,46.70979995438453,47.30874501213761,47.917069395648575,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
9.0,8.021313904429226,9.14236439551139,9.270302602236509,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
8.0,7.651195964716514,8.0401404508332,8.049677838790608,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
10.0,7.623912172913057,9.758977579036008,9.937858318204709,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
