Target,Prediction,Prediction_SRPPHAT,Prediction_MUSIC,T60,SNR,Signal Type
11.0,61.9262351479293,10.970796291643627,11.089494326744157,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
57.0,52.52527210818384,56.769820398384915,56.41845559454053,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
12.0,11.838890770397882,12.422048652638786,12.706813692295002,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
42.0,21.94789943731251,42.32033455395455,42.6292028606793,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
71.0,67.27961808076677,70.93927290813308,70.94246532465645,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
13.0,19.91597959883898,12.947246037279669,12.975291664342736,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
20.0,54.913015419468906,19.589406151303766,19.915966068584883,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
60.0,59.38470227544631,59.4200710013452,59.031047981946145,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
34.0,29.010934811763484,33.78574232075683,33.340686031031254,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
40.0,31.95019533761033,40.50516416661869,40.855604756930234,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
44.0,43.12630230557749,44.88475258543559,45.07317130289092,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
12.0,9.564462254034932,12.262642131328702,12.145319375739808,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
27.0,31.348243204329826,27.112989250898515,26.981591517424853,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
58.0,24.82433677318611,57.35295124497117,57.12078848426815,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
39.0,40.13283473456072,38.90875614482392,39.19622370373868,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
57.0,54.50844219534702,56.828453211665305,56.84747306556448,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
55.0,57.356584766720204,54.8361982338779,54.92702898835812,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
0.0,34.3964310425374,0.0,0.0,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
30.0,37.6299858384463,30.318981310646265,30.4001353677676,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
9.0,42.96865878483962,8.941139694435499,8.951584950042314,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
56.0,42.00475025245376,55.4844274270544,55.78051397232413,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
23.0,23.7376198802636,23.326988711581897,23.0240833190662,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
44.0,45.75752209896525,45.194434810281024,45.827520313229876,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
69.0,59.8761608617494,69.07320874873439,68.1462079819669,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
0.0,2.6996994381449886,0.6242362998022261,2.5157434069688374,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
7.0,58.72426428484259,6.836609474808036,6.966135259756817,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
9.0,0.8483041082018878,8.656302048805012,8.296756953346764,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
8.0,8.523860980637995,7.6526106102196,7.98963028104018,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
53.0,20.06113600825622,53.04552943188609,53.000646519939465,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
7.0,7.572527377652699,7.3121087377271605,8.14397512220957,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
47.0,44.22995638690526,47.74350799252082,47.923672806141724,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
16.0,14.064129032787243,16.135194495423857,16.157036793617415,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
41.0,40.70802107029896,41.0752194086931,41.43398416767914,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
21.0,67.00317462192623,20.76595626433409,20.859393519335185,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
69.0,68.04490294436528,69.04540494752297,69.10194456894232,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
34.0,33.335957690198,34.08176095044544,33.28370897828658,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
59.0,64.28016719885068,58.602002153109815,58.5492308097732,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
66.0,66.96078195439613,65.68645650686885,65.44937942741691,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
44.0,46.09865766119804,44.528862810137504,44.530815758233054,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
65.0,9.1774926850572,64.87877581879955,64.4588143023527,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
56.0,32.97671794984098,55.910876290330535,55.96177382199869,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
13.0,10.858079391681393,13.018955368064256,13.060143486145595,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
37.0,47.36073860524184,36.27788003600277,35.09466723332282,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
64.0,12.343612806946734,63.54843477128196,63.538015764961955,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
11.0,26.912265408335802,11.092914411618418,11.984043797129535,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
56.0,54.856665236614305,55.871813130563254,55.948991668107176,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
48.0,46.049971511367424,48.8903928807504,49.67309258610501,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
12.0,0.6024600862852718,12.260487651681117,12.109566165464479,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
68.0,67.93950894086471,68.11507011162598,68.03605370929951,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
40.0,39.21711120673788,39.924923754231145,39.88148443958855,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
39.0,47.94489516969035,39.361663418056295,39.47128791746284,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
14.0,59.0289933948965,13.826101364397157,14.073589428629504,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
55.0,33.08335171204494,54.38298116828494,54.42711195807225,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
62.0,65.70686824022535,61.59862583919198,60.59564120388775,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
35.0,32.18077968388778,34.98280532411529,34.45888005105246,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
54.0,50.11706307537115,54.20402102756003,54.15210684067198,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
36.0,22.426569776041426,35.70018213953451,35.96505700277844,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
8.0,7.033816357611171,8.64846447337633,8.649051193288944,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
6.0,48.628762740622435,6.11471971836457,6.930520277883588,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
35.0,33.27060150139184,35.21629034204474,33.006474285647215,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
35.0,29.04718266708541,34.97683486923245,34.97189407183517,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
47.0,45.613857253277494,47.82024962808426,48.09783694354622,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
2.0,3.4114156253353327,2.5442645330427838,2.5155215335130547,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
36.0,41.17858371263157,35.51078165888725,34.25918093230205,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
51.0,48.38548678706894,51.5232017558044,51.88094105063789,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
23.0,39.67434966982093,23.28639632946672,23.285600333486197,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
41.0,40.96666178146331,41.16703396171652,41.007084701229104,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
28.0,49.99580343235198,28.57723087753839,28.399792253696425,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
47.0,49.52560513816399,47.68866360989818,47.89564302261084,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
0.0,1.582932716605779,0.0,0.06361329772929508,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
32.0,27.953754051895345,32.264738945325554,31.890869035827606,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
58.0,57.569144205182546,57.926465356377825,57.19271497817367,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
54.0,62.952600718402266,53.89502366871328,53.9280520616892,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
53.0,33.59188398508485,53.07520427786183,53.03379238256635,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
6.0,6.616135573082726,6.059736236485029,6.075804173185223,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
44.0,11.969429878784267,44.216748356474035,44.15889223989005,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
65.0,66.81865215439166,64.84995046639084,65.01737236457613,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
62.0,24.51689683185067,61.843147267297525,61.79016399216012,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
18.0,18.601556200001085,18.08860862031365,18.01261040788481,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
68.0,68.0993882931677,67.68626100317674,67.7486179963966,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
55.0,31.568172698645572,55.094928466322656,54.80880974728665,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
32.0,32.85038133981321,32.01227479098221,30.72993740377707,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
46.0,44.47859780264409,46.44077535032509,46.439258354886704,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
3.0,4.615570015493588,3.0620957190225013,3.8162866767085033,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
42.0,5.4808558885037,42.62733340152394,43.87721717971515,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
4.0,69.47304580466988,3.7565315337256524,3.9443059001214085,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
34.0,33.79879144859287,34.02425950457216,34.00834844209628,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
66.0,67.58189651175296,65.55400612641301,64.90914046371091,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
60.0,68.2579477658121,59.647000791724494,59.707646962401725,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
