Target,Prediction,Prediction_SRPPHAT,Prediction_MUSIC,T60,SNR,Signal Type
41.0,41.84132392010397,41.6999531823146,42.0222170806996,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
39.0,36.631270579805054,39.13138375985237,39.69608374328485,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
24.0,23.15775932919335,24.06967425317258,23.892205589962657,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
11.0,9.878751076364564,10.682309672031488,10.748544230267456,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
15.0,14.151667874192434,14.9783421591268,15.025705952579491,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
45.0,44.87046039954143,45.97833535781318,45.90043034566248,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
71.0,3.7851294234463064,70.92279069720753,0.0,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
68.0,65.14449979121665,67.33929233229297,67.22913357088856,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
64.0,65.58312575351124,63.41230326587138,63.13460379471955,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
8.0,8.020196638246633,7.766852321899458,7.71893094278162,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
38.0,39.15378308514559,38.35396952017805,38.945806122185466,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
55.0,55.25892167165708,54.87401445065233,54.86108344805869,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
56.0,55.920505213363114,55.33485463686102,55.36897457611038,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
42.0,41.868689613092556,43.003204590289016,43.98953964061797,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
34.0,29.918097503827664,33.85309776877866,33.189769197952906,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
64.0,63.89838381648772,63.457480855543366,63.22076017923164,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
3.0,67.26487866010227,2.905747365214654,3.697285595992154,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
65.0,65.3203546915914,64.3941304736898,63.5074881275699,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
8.0,12.735069569604365,8.132782996745103,8.185150707098575,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
57.0,55.14355324326843,56.451525645790795,56.26860367739054,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
70.0,69.6314649495558,69.64762994694257,69.12179802458415,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
20.0,19.326226880582055,19.924239643377273,19.950001980479907,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
65.0,66.56810374523151,64.07299700444364,63.91927218163418,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
25.0,26.942905042564917,24.85170563769181,24.208724815202267,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
19.0,18.049397567973394,18.872628455987254,18.952135266680145,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
