Target,Prediction,Prediction_SRPPHAT,Prediction_MUSIC,T60,SNR,Signal Type
3.0,3.209518269482793,2.866419273082303,3.161916479245943,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
54.0,53.84683518779069,54.02385220874719,54.001266793733706,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
68.0,68.41989318711266,67.71906983767815,67.62846963256149,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
43.0,42.31867760711565,43.50484569793175,43.20104051160939,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
15.0,15.044876940816398,14.878473380273018,14.924732890896083,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
24.0,23.727626699719483,24.14208462370265,24.074194274539533,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
22.0,21.946590038787026,22.092284145651544,22.018353112618925,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
21.0,21.801810458739006,21.2735094945047,21.085814207254955,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
10.0,9.897285015198795,9.855893885598112,9.965945578606929,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
27.0,27.09260834309839,27.07905372922562,26.868277407325266,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
2.0,2.1293508816613516,1.875511219466595,1.9997513401644227,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
63.0,63.11728165947657,62.69455075247847,61.88291195076014,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
59.0,59.12125505214745,58.75410414674873,58.66342569484322,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
34.0,34.23059843431237,34.17803653836136,34.05171971197028,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
5.0,5.875212947789784,4.841515694013431,5.057788877153753,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
65.0,65.10890008173837,64.31664164193562,64.17773490066297,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
56.0,56.07265618594671,55.90306413309766,55.9639874973294,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
40.0,39.24167078007636,40.12495643247174,40.00790828518269,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
11.0,11.012531011158257,10.788722279956193,10.952911297713275,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
36.0,36.2383302449361,36.04022523317585,35.97267062202262,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
24.0,24.16074058617539,24.11291650861423,24.065115789154213,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
15.0,14.553698969374578,14.81824602247096,14.751765650901632,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
34.0,35.21215874840223,34.150143506098935,33.86142039843642,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
52.0,51.78255781142684,52.2475407050417,52.06067300221306,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
63.0,62.99235056464617,62.71958983021066,62.631282382246475,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
36.0,35.469893961789644,36.036735175803265,35.653262747220936,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
52.0,51.92015392344322,52.11188956919884,52.07392693177714,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
47.0,46.25727072217325,47.26725752131951,47.621674900833526,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
11.0,11.575159101307303,10.804807260445726,11.024975518621652,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
14.0,13.011990190638837,13.77427578031077,13.738498519008777,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
15.0,15.03480963122497,14.755623960669958,14.858316830519703,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
25.0,25.421630214869268,25.230498902329426,25.267800922658132,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
70.0,70.87675653950087,69.84837822480326,69.96821863415364,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
18.0,18.038239002098592,17.956709176645763,17.98435609835318,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
46.0,45.10528443934574,46.69810951278781,46.7636286691809,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
45.0,44.96073444212416,45.435788332952036,45.26295773732569,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
63.0,62.90591977243425,62.616201798406436,62.44110827092495,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
24.0,23.953358888321816,24.23198217432673,24.100731200793238,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
35.0,36.05579894770915,35.153695088193956,35.000833573144305,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
19.0,19.40159847123443,18.930254296101673,19.034256647654846,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
29.0,29.561591377211315,29.15725007546993,28.690278012831026,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
6.0,5.76332858325777,5.755989731655474,6.0137192355473745,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
48.0,48.12898712397468,48.39271729425997,48.691938360874026,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
45.0,44.943505087255765,45.28292966122027,45.310546198875564,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
20.0,19.889522678885342,19.66788947130699,19.976505200442723,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
57.0,57.17095143418802,56.85891102104804,56.83962560985682,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
2.0,2.3977133960302566,1.8245181500674474,2.034611253355062,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
62.0,62.024777848631004,61.786572104876505,61.84172195999233,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
48.0,47.353458814463345,48.35008634332134,48.5503005868653,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
14.0,14.157515839593124,13.764174185498836,13.958022707782058,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
67.0,67.95356946044299,66.68048997360604,66.39314751862689,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
22.0,22.180254864580757,22.205655932577148,22.141810384560067,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
4.0,3.866844333551989,3.6583799834747053,4.251342808311965,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
33.0,33.74049554635776,33.23234818091413,33.0362706191908,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
5.0,4.970860604493475,4.786979692055298,5.148990216136754,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
44.0,43.423500867062124,44.316493781397135,44.768155822548096,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
58.0,57.926315208804525,57.86454794909181,57.700691980601235,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
49.0,48.95000449713829,49.466078567638114,49.80877489484827,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
63.0,63.26801299633642,62.74331121779025,62.58662337841452,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['n']
17.0,16.303889906111817,17.022083976892972,16.95438678727573,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
6.0,5.269465055041022,5.758162756595549,5.175640181072829,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
29.0,29.217721841325094,29.21552404796496,29.27464957631208,"tensor([[0.1300]], dtype=torch.float64)",tensor([-255]),['s']
