Target,Prediction,Prediction_SRPPHAT,Prediction_MUSIC,T60,SNR,Signal Type
62.0,64.31314340291927,61.26982756147715,61.09965692737192,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
53.0,51.41807197049323,53.28038797565386,53.099414945042994,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
3.0,3.922309740911026,2.8690342257306094,2.853057812407547,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
36.0,36.255689270630334,35.892793862095736,35.944487121411626,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
57.0,57.406424944113986,56.56647960321286,56.224059258036284,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
49.0,38.07389530075703,49.33040032420386,49.43133793738803,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
14.0,11.32000260861575,14.165086852460389,14.7141131938608,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
60.0,60.617939659358576,59.78651553397391,59.337746619618635,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
38.0,32.66907048393087,38.23979250791889,41.026714630453256,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
55.0,63.01800479500426,54.8148783581819,54.976367316646275,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
27.0,26.616600252853306,27.02404170669291,27.016690051305464,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
62.0,24.084718560587067,61.4032483763476,61.54221210956771,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
32.0,38.003567855465555,32.10018286817813,32.10876716003656,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
6.0,70.18912547438367,5.5895585144539375,5.736454420367658,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
65.0,65.65286090709559,64.09343342085184,63.433777977644375,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
23.0,21.447124145840515,23.05328362222846,23.065672591703272,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
22.0,35.13883494448318,21.63192587592545,21.41684220839767,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
63.0,63.657617127404535,61.74815781335087,61.932410146249225,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
31.0,31.939839835571274,30.81130784968023,30.2631546427698,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
49.0,46.953559025827694,49.35364592190326,49.80062279294412,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
7.0,3.9419540786649474,7.287565845873404,7.133509772564761,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
22.0,21.353430909669143,22.799710600292066,22.264950839204523,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
11.0,12.076623530566621,10.737888377744817,10.704267880919835,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
70.0,69.53524489214216,69.7608093261573,69.79304860002517,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
53.0,51.21986000024479,53.00276131582709,53.1644029755406,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
36.0,35.58356910185733,36.067253111882195,36.141810489307595,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
56.0,58.49347056006754,55.694901913466914,55.22290866560637,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
27.0,27.393048348798313,27.350372409928383,27.189955421401017,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
23.0,40.75836269290196,22.96442728577634,22.267686766599695,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
65.0,63.98906796448998,64.87805829511461,64.40018900805838,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
33.0,38.08967459862913,32.7959408229037,32.27257510590524,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
23.0,26.80732403389322,22.29247284982154,22.375009885401965,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
33.0,30.261980600171352,33.46128428024735,33.70923177699282,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
7.0,7.871136066988931,6.850783780491679,7.04542239281294,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
66.0,68.15391631221061,65.03234805740178,64.2972963509149,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
0.0,67.72893391169768,0.36210523191462296,0.49240642511725524,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
32.0,32.44587582559848,32.19338146454445,31.909014883639244,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
20.0,23.18917001757204,20.03083740504014,19.957332493742292,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
41.0,37.97472147802941,41.68762329131121,41.932696712431564,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
14.0,12.384751629293959,13.989068757640068,14.032171864531021,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
19.0,20.32275331467895,18.92459276231772,18.952548605487586,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
24.0,23.166284761873474,24.44009591011822,24.08185829823434,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
70.0,67.28279353753912,70.10969808421261,69.66328865146362,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
9.0,8.524503299744906,8.835066392284729,10.023160766077483,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
20.0,40.806830719438274,19.821127907227734,19.788518889547813,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
39.0,35.65972434723784,38.83951754834584,39.21158424335668,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
19.0,18.589699502645942,18.776846126087317,18.90961280912916,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
34.0,31.04990199403914,34.25038515542473,34.12971232276836,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
51.0,50.922735005015795,51.19458263282992,51.228038770902806,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
3.0,69.92317845518706,3.1145615526475394,3.1205505133838702,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
67.0,64.23223714783445,66.56725784288454,66.69426407212018,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
19.0,17.79458583213432,19.135382818022016,19.067204001708618,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
28.0,28.117404696154384,26.99687914489698,27.126057706553038,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
8.0,8.985757174464728,7.865516190153342,7.7893370226314955,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
22.0,32.77446846105432,21.93156361298643,21.888314376813483,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
19.0,29.662275016848213,19.081820737898283,18.960511891155637,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
14.0,15.513649450256722,14.224214981100584,14.242591808827193,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
14.0,14.893395627870131,14.035563003989047,14.311208246687087,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
68.0,0.07084951010665128,67.67957406518632,67.70519653592908,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
57.0,58.424812275339384,56.874484526401076,56.8670099644325,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
13.0,48.077735619733204,12.666220938445539,12.946348310016626,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
15.0,12.171249912448113,15.119374591475863,15.085814557486584,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
64.0,67.39493499089555,63.211381365558815,61.01494911256037,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
26.0,25.806770273170176,26.161266728404815,26.189648091304452,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
55.0,54.22579016444816,54.93680697263724,54.946843220730855,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
4.0,6.676930015444562,59.15284082153621,4.464358236154893,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
10.0,13.262353249455899,9.996944615620844,10.120404837254728,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
20.0,19.453254741735535,19.86051571714578,19.909398655816418,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
42.0,41.917506738461206,42.55629082619151,42.266945398377224,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
30.0,33.917053859289524,30.252328627795844,30.129638797747297,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
