Target,Prediction,Prediction_SRPPHAT,Prediction_MUSIC,T60,SNR,Signal Type
61.0,61.04728626325955,60.84172694203657,60.90704960972675,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
52.0,51.731551328935105,51.6548494730123,51.89913639818164,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
35.0,34.77361546389736,35.08864714288304,35.18877154347886,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
54.0,53.79465223877402,54.03664250579428,53.96777163995157,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
67.0,66.85182996272334,67.04998412508975,67.0024853576874,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
71.0,71.0,70.900402769171,70.9345743755565,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
49.0,49.34520805652441,49.13739639394913,49.13156036438786,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
30.0,30.218629153762294,30.193721573446346,29.910558193400124,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
56.0,56.0074334016316,55.857197432457866,55.96062999692913,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
41.0,40.83556289303631,40.692143859189095,40.85888393254568,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
36.0,35.91597207589347,35.88223805027565,35.78282973970177,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
48.0,48.31364362988599,48.1683063985132,48.28270041669008,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
3.0,2.9767783352567747,2.781593447301752,2.827230390224855,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
60.0,59.31786513425565,59.897401602574156,58.85321027359974,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
59.0,59.00411140319212,58.63177748357718,59.07527152689281,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
0.0,0.057203032834849954,0.02284591367112274,0.19791013478090635,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
40.0,40.18034785447776,40.15520537965061,40.03397544975099,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
65.0,64.43522517193355,65.19171074360769,65.11231356375843,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
13.0,13.35534848897617,13.539223080589338,13.414322891734036,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
43.0,42.99063397763376,41.97481360216835,43.28171045981247,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
41.0,41.10617610711303,40.82017132073231,40.95397313936262,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
44.0,43.93978167513697,43.84096760715218,43.94834278957981,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
38.0,38.10515809332681,37.41659256208649,37.24786970601368,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
62.0,61.968721491848996,60.876986207300035,60.88789650274911,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
53.0,53.23525574695314,53.78072809848203,52.95460804824263,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
11.0,11.292026388588305,11.252129487647414,11.250731587015274,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
22.0,21.89332459539719,21.67381752777127,21.798396865291256,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
51.0,50.98150261775723,50.82722193961417,50.92837511227281,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
40.0,40.31122226611278,39.82009210351257,39.90933337068201,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
69.0,69.03059475404608,69.19630535548019,69.08640879466896,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
41.0,41.315567206234704,40.382965752849806,42.67540284136895,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
23.0,23.230991746351226,23.129638598079453,22.685728701551565,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
20.0,20.01153469773801,20.338408654505315,19.98604224955411,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
51.0,51.51801134607225,51.28215304392169,51.13477149286031,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
31.0,31.021605865891004,31.22297141756633,30.91100892248753,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
6.0,5.452619570735229,5.461647764018939,5.607985144702145,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
49.0,49.003059671053926,49.051183777288976,49.00548423315065,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
67.0,66.88179054902403,67.26435436150025,67.18972602839979,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
39.0,39.68443666764542,39.01809017146113,39.84881788360225,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
36.0,34.09040541210564,36.028970913462764,35.93139780788661,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
34.0,34.05216693689662,33.3215481861114,33.830603161848614,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
32.0,31.976629733688775,32.50642216223129,29.435983884671508,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
57.0,56.73769337597961,57.00029632578935,56.93343276936381,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
21.0,20.712884209305585,21.423106805238298,21.80567080309242,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
53.0,53.49887549798894,52.74762013787583,52.409838962072854,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
3.0,2.5931791878105104,3.094647286262977,3.254999719016846,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
39.0,38.78562495020068,38.92172633052931,38.9661461303412,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
17.0,16.614568328681855,16.798841135421362,16.91436904079334,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
31.0,30.693139312299852,30.071850133266018,30.421159150965476,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
19.0,19.037107060748077,19.719562237938344,19.566971425052994,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
21.0,20.78582700719015,20.893068939424868,20.979055526916774,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
38.0,35.00121609884006,38.49814283000355,38.31124310658822,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
64.0,63.86540026566776,63.240081525240925,63.76793790340406,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
30.0,30.37933594729909,30.543750619388184,30.432369063643396,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
27.0,27.304365498314084,26.725158147488933,26.58906682167816,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
42.0,42.21873071947036,42.02677710107956,41.92558097582753,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
14.0,14.204606108223736,14.097831923555121,14.11584291556372,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
32.0,31.70682904298836,31.701598913229752,31.526565414683557,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
68.0,68.03418305260232,68.11854179833013,67.97901481885728,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
48.0,48.33161447980267,48.64123975010155,48.63666752465416,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
28.0,27.97353126934038,28.03450431795072,27.964814943870852,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
36.0,35.829889068027924,36.22268947358312,36.112613254838024,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
63.0,62.1661691480392,62.83299756437113,62.8947917695201,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
3.0,3.0651494730369477,2.3849994356940747,2.5583674260778664,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
20.0,20.190097240356124,19.76983390947146,19.580189961271174,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
40.0,40.27090317052179,39.99532413028825,39.92753777757404,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
63.0,62.63255595106176,63.75947722672701,63.94714094122204,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
64.0,64.27718287510748,63.94862481065721,63.88047853614562,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
54.0,53.90827428942093,54.02979456237528,54.0389825991412,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
4.0,3.641689667985974,3.6813243015112396,3.8603809091591352,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
34.0,33.70715316296361,34.17608516396544,34.22433995822575,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
13.0,13.109011143965976,13.46383928120865,13.85958582723036,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
19.0,18.905332021322472,19.033101994643367,19.81041588714479,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
8.0,7.6470588629559835,8.377676831947694,9.394387287805774,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
34.0,34.19185373107286,33.968043868442734,33.611448189707474,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
20.0,20.14671609752434,19.61306553586454,19.55848404499926,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
58.0,58.10304589993922,57.69308281401861,57.99042887820595,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
63.0,62.60320278639487,62.83505139011156,62.829399597364976,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
12.0,12.164175529740342,12.738414022173883,12.907065019746536,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
58.0,57.67503424906849,57.7777453052282,57.785255186262255,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
3.0,3.223912130484345,2.8544367617176234,2.948054938814144,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
70.0,69.95293778108484,70.67684600190836,70.88484661498501,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
71.0,70.98396806855735,70.8363671668259,71.0,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
62.0,61.84304861896443,62.04100833213386,61.20622426217517,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
33.0,33.345891457772744,33.099374936643784,33.10541719296163,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
26.0,26.07324362374769,25.22741620677919,25.92955858224568,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
8.0,7.75253615033032,7.7545660588938405,7.737296428509869,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
57.0,56.73691364937123,56.67105428781679,56.69783485337806,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
15.0,15.105956698962817,19.965254095898526,16.023254827448163,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
48.0,48.25179059123172,48.6204698751458,48.274681159980126,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
3.0,2.972653729918718,2.6713806761857883,2.4527734050307752,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
34.0,34.37250720672111,34.579412038918974,34.251323024309166,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
3.0,4.693410964852685,2.6896150338650515,9.272453837946179,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
33.0,32.42714774452633,32.82226428047188,32.98098950152887,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
71.0,0.0,0.4609386914772895,0.0,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
62.0,61.96620961694993,56.11145218529772,60.17695988262284,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
41.0,40.97595863190553,41.117963218194284,41.028838399782046,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
30.0,29.878887053909345,30.740927749172226,30.44329109813147,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
37.0,36.67672071490784,37.11486768439627,36.9881938620496,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
45.0,45.04037834397465,45.271460338968325,45.32400595741897,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
42.0,42.66366736367188,42.16061609150289,42.18737199940483,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
18.0,16.315551598854285,18.749335711660503,18.353641382344946,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
25.0,25.473548108644962,25.128530129748405,24.8230884775472,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
46.0,46.79488731276778,47.15686617730959,47.24276114480483,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
35.0,34.98281444433622,34.171947778680135,34.13150772617002,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
40.0,40.45493503463955,39.19853636085292,38.32076920191393,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
53.0,52.945965849441706,53.22007746924663,53.45607593523218,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
65.0,65.32588081124369,65.18721492844436,65.1976908434889,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
25.0,24.587453682524263,25.301696697707282,24.970008754321377,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
63.0,62.29672130403839,63.09060090390927,64.18472809466728,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
62.0,61.90585706994149,61.455878876726715,61.237160781016456,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
41.0,41.706748757247944,40.47034797961601,40.39452712678006,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
62.0,62.04114334866797,61.984211602917476,61.72424465005165,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
37.0,36.78408651664377,37.36260204703966,37.16082993919112,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
31.0,31.377665795514837,30.271433245996093,30.65490448734476,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
35.0,35.088932788459815,35.19055268819719,35.39618271160145,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
59.0,58.911502701717936,58.86091438200411,58.43391208474966,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
57.0,56.9090037201023,56.56500605975667,56.90816647564702,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
45.0,44.773435825819476,44.671096720037205,45.12149079338832,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
37.0,36.87183762940944,36.8336687883424,36.74716355571094,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
23.0,23.080994231095026,23.708570871392062,23.49297516261897,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
45.0,45.18819219443355,45.45894630075845,45.46279578030221,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
66.0,65.54261236914101,65.75667788774314,65.7095313977578,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
37.0,37.11653324467301,37.623579976732735,39.29639565940935,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
29.0,28.906986628704566,27.85153350228792,26.580119834584558,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
66.0,65.12841553365881,66.12147966080664,65.70335867357885,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
14.0,13.976386010819589,14.327649321246025,14.673823913006407,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
4.0,3.3358652031711387,3.288246088937086,3.0541658930566227,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
63.0,62.93909323704975,62.88869362289471,62.17913069610202,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
21.0,20.80598184033976,20.846284659806912,20.951053488579095,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
66.0,66.05381028066012,66.0590772917991,65.95676387666245,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
70.0,69.46553599632021,70.31322163867813,70.29151816372858,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
1.0,0.7264813191375605,0.6404771275571363,1.776947922558067,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
29.0,28.942078803122882,29.28669232838772,29.045179783040197,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
55.0,54.770151626599535,55.09641527080973,55.415884121016795,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
4.0,3.7956169725030295,4.154788306707551,4.21201254915111,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
32.0,32.04792096681416,32.24000187361592,32.044367443063884,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
