Target,Prediction,Prediction_SRPPHAT,Prediction_MUSIC,T60,SNR,Signal Type
34.0,33.761010560646206,34.26314018380921,34.562487047265655,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
61.0,61.04675343425835,60.65199291419511,60.1294115561963,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
23.0,22.9488669536552,23.022759500097557,22.739561400133724,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
14.0,13.919466905168981,13.857521347148397,14.122902188100547,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
59.0,59.27011245179442,58.39006167865514,58.160970024486446,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
17.0,17.22289623157169,17.179368799481523,17.01405232737635,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
49.0,42.52345669293921,49.298860854109,49.421062038376306,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
68.0,68.1244783711912,67.33607997559903,67.05699088656584,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
52.0,51.88867165120782,52.2849240731537,52.18120665651811,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
4.0,3.64303491905127,4.7543296258352,4.564246212784485,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
45.0,44.729695938275725,45.58409390309374,45.81823238673535,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
58.0,61.589339009561186,57.64266077327026,57.73429488730708,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
22.0,22.358196804809534,22.478164168688412,22.37323002696237,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
22.0,21.992202146786344,21.97852149668289,21.71612729487491,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
55.0,55.0157702607114,54.83612330154074,54.916712247911086,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
38.0,38.05480235204124,37.85006489982706,38.104810728750124,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
20.0,29.14631758391865,19.54158692774959,19.862854576640828,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
56.0,55.93749536478081,55.79497685871619,55.91428341183288,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
26.0,26.33037512983767,25.9559608814476,25.79010633749759,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
53.0,52.9117276374903,53.062902926604785,53.01526794662085,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
24.0,24.29580888664702,24.204007468254492,24.048690360456227,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
38.0,28.81448758651584,38.3628182024327,38.96458003284023,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
26.0,26.143329123347023,25.86458102231665,24.846051068646698,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
56.0,67.86223761869587,54.99739621645081,55.854254628005066,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
8.0,4.050321440632239,9.032008506295915,8.816009372749065,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
35.0,28.166284281627362,35.34741939956115,35.664877964633945,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
8.0,7.796603827635619,8.13901683405226,8.45158278341833,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
46.0,46.50589512023972,46.91811131996576,46.992677984560856,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
67.0,67.11800953187364,66.51615535961662,66.30996190083063,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
38.0,37.88385538803391,37.78389878240444,38.04977744904204,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
2.0,2.46130525583904,1.9237368484257016,2.125923828393888,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
52.0,51.77743322083386,52.034084576266316,52.04015292811403,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
30.0,29.831710699697343,29.9058978232933,29.60475154503992,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
