Target,Prediction,Prediction_SRPPHAT,Prediction_MUSIC,T60,SNR,Signal Type
69.0,7.782105364305225,69.14867966969982,69.55919726040472,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
54.0,53.68589892435258,54.21813189199836,54.087839308728,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
24.0,44.86515316581938,23.08979984576837,22.948686742043893,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
34.0,26.80383241298595,34.39456110869899,34.06196906676689,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
65.0,12.353598924514072,63.97600160699294,64.04503831185218,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
48.0,54.62839194133323,48.207285485442576,48.88989129137513,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
24.0,16.99527427177222,24.337639480621572,23.27928857060154,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
19.0,20.599689048063098,18.635264076289634,18.939534079016486,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
24.0,26.690423745734265,24.650400409602703,24.860098754770725,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
71.0,67.00347615529174,71.0,0.019577903434460312,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
12.0,18.21420959302292,11.955795946809769,11.961123372600232,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
64.0,8.649868072636732,63.164077246864395,63.0749071901772,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
13.0,17.32369724315199,12.742289740665132,12.877207425140051,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
4.0,4.156576922090212,3.9961400798688684,4.712340982016667,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
40.0,35.92480799339587,39.29784015561026,39.63796009575394,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
21.0,18.292406531999763,21.043073948180854,21.07006881439812,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
69.0,7.620139369835986,68.88015510301038,68.76385547472653,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
10.0,13.871344996075027,9.78542448480615,9.1186904979134,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
14.0,8.653889961762008,14.008368337732241,14.085583168262502,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
7.0,18.038158309207645,7.513302324222175,7.928722128986361,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
33.0,28.524907795441752,28.183656073766297,32.42743350140261,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
26.0,22.567729088107058,25.788446101914236,25.09089281094196,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
47.0,41.63811138809219,47.631037496294724,48.22647860974822,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
49.0,51.139877928691824,49.08962970099507,49.226821737480336,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
16.0,53.43479986624751,16.857257301475496,16.17786733662982,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
68.0,68.46088332964865,67.57765159598158,67.32062703147082,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
46.0,49.06915007902655,46.37801286682662,47.239566952923184,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
52.0,53.71917035384746,52.7078313549254,52.6320543032534,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
49.0,51.922027335928014,49.5747479630137,49.729134317061884,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
3.0,68.75635397199719,2.8767112328791296,4.666916593687263,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
57.0,52.14466443003385,57.040745691385425,57.00851210613151,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
43.0,41.882378547520176,43.5562831509048,44.93018941587876,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
16.0,54.02719979600008,16.063101135431655,16.11647188684026,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
42.0,45.56912634232277,42.26960731857857,42.228486881656764,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
19.0,15.116239661376843,18.93900123578285,19.010666535547994,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
2.0,67.42061021235483,1.5680764338090136,1.7834414601180533,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
51.0,51.08400763055683,51.28571224173322,51.15520544041767,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
7.0,66.61785570879209,6.742759565119347,8.269247540328978,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
23.0,23.327089340417608,22.283782667335533,22.20437704428505,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
35.0,38.855899973608835,34.972179615105,34.899730945624334,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
4.0,12.91570127141522,3.6377787461232236,3.330356035805077,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
9.0,54.647314778629,9.082587428539025,9.257399594787568,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
29.0,45.968214974938476,29.74533540157602,29.769097834042757,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
10.0,11.94402558389749,10.247459719038993,10.24574190768633,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
59.0,58.855559175226674,58.37277215226392,58.09444772443061,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
4.0,39.715563646312575,3.7808274824492973,4.503691007179644,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
34.0,27.761486462164147,34.12679934872065,33.87966365733208,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
34.0,22.72270365127142,34.23673586179186,34.68720244333202,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
10.0,10.588503337640908,10.789268372340514,10.857965931198647,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
14.0,11.430181210344449,13.853619361397326,13.83372027523073,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
56.0,59.051319880123366,55.74423445355919,55.55223173335498,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
18.0,22.374900044656677,18.001293899691095,18.01049957388523,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
7.0,10.887697996534497,6.691759258120055,6.839849043023448,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
41.0,43.30472103863839,41.34191612891102,41.89796067870949,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
49.0,44.93367835040779,49.195548548369295,49.48603412109404,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
61.0,58.284775043805475,60.54273639143074,59.97979341073625,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
50.0,49.20315987156618,50.43945391091318,50.1903307400024,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
1.0,70.90487800747361,0.9880528733022522,0.9884978052046041,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
61.0,60.06310298158152,60.14370885649601,59.74498723283555,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
27.0,30.08470337734175,27.141337861293106,27.210930473749936,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
54.0,58.31203158989638,53.91174107191664,53.97206710373566,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
10.0,5.053654966501629,10.738056288153208,10.690775549156857,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
5.0,12.92578371683989,5.350736402218658,6.149940171853831,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
71.0,21.601474549157036,70.89367265244363,70.95375167913066,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
2.0,2.987614498290981,1.7158323174363654,2.0032235446909707,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
2.0,0.0,2.129046349862828,2.4081381789022447,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
17.0,13.449113835301873,16.799064683587755,16.89584085206438,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
59.0,12.844745893218809,58.879866629066804,58.91009901950481,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
3.0,4.433323476278528,2.8812454359610484,3.0954550966786356,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
32.0,28.52801675814458,32.420908681744585,32.232013458585506,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
57.0,49.2340237824384,56.65362341609985,56.61201948099747,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
10.0,8.802722301702364,10.456008110697665,10.410974174933537,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
37.0,37.668546492825925,37.111124643041244,37.086812413679226,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
70.0,8.38250206810504,70.22671587263702,70.69743701830731,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
45.0,45.12840788566241,45.391496809762224,45.42929027599008,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
13.0,11.883393671637116,12.487879600744987,13.193118141285293,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
43.0,17.648274324063635,44.07717212125653,44.3369812343723,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
23.0,17.984222301893094,22.950133079469897,22.949277179218605,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
41.0,46.07937685843401,41.114588660003406,41.91794693034796,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
53.0,53.196950325809325,53.087397673964176,52.90854875344803,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
50.0,49.93692893259687,50.269301808801515,50.31583727873351,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
45.0,45.801849980046065,45.52241304831986,46.92275456125195,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
24.0,49.02817000811281,23.600402361765976,23.868345002959824,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
47.0,48.18864957794106,47.25000761526595,47.13270149379626,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
40.0,43.78230163655221,40.651603312772885,40.18149539203663,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
59.0,58.93342429524421,59.33323641376967,58.91776380758878,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
44.0,41.94998262940855,44.25455249699453,44.09509588602776,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
7.0,11.152655521256825,6.807596355701753,6.9097798590537876,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
48.0,48.97811613457923,48.34617186892063,48.86121201245137,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
47.0,48.89596780982146,47.255611727134415,47.5796220133542,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
29.0,24.90762447450192,28.670132714683636,27.937526958550617,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
57.0,59.05225251331946,57.002168398976146,56.25501271369568,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
50.0,47.982892302461686,50.10879231562936,50.729653184459124,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
20.0,21.824605544996427,19.832837748861525,19.65139302914615,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
0.0,8.869824720114206,0.11261750720476182,0.10196663480133271,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
54.0,53.52324343242619,54.86254463459458,54.20500244918643,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
62.0,64.72303497537803,61.12839396090808,61.08577130612245,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
58.0,21.994411690965453,57.58277049294905,57.18858127325407,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
51.0,47.79146589728788,51.14607561745467,51.15460499689285,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
58.0,57.476315714794616,57.70666897127862,57.81600722511924,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
10.0,8.21975827672331,11.079507684800499,10.751587933159717,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
3.0,4.234639358144176,2.922849763401575,2.772647731662876,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
28.0,30.270976487489364,28.167569547610928,28.133806800274506,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
21.0,26.30271151050738,20.946657372993577,20.95184594607311,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
49.0,49.48437126071866,49.523534692974245,49.61148324748003,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
20.0,20.71805352998629,19.793629372416916,19.833921281508076,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
28.0,48.783546723912146,28.066048611991086,26.118397623950827,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
35.0,31.059780742868117,35.30992190117272,34.851626882907176,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
45.0,39.11479857934159,45.33970974747493,45.226715526078685,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
11.0,15.984007826197406,11.806806076328519,11.886791713252993,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
4.0,7.135990205283603,3.4555978731877968,3.814409620269295,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
26.0,26.939786037446407,26.695065096086594,26.755593561564474,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
11.0,10.117450170049727,11.644023377251179,11.930504819573871,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
67.0,12.872246403505962,67.20488626180165,64.12620373638056,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
1.0,3.170069906912026,1.3391589131397912,1.555360358238332,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
57.0,51.80218679659655,56.90876989168119,56.78108150952295,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
18.0,16.847808241457756,17.797553052352225,17.85195495922293,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
57.0,54.0543243044634,56.84977407204529,56.9450357128808,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
6.0,68.80226385989285,5.803303143579843,6.916051670802828,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
63.0,58.90682882394945,62.24455870386335,62.13297603103693,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
64.0,67.65818824451124,64.06305234897529,64.05880226079901,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
14.0,15.935696004422082,13.598256602076354,13.756541372936109,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
8.0,8.09423301032498,7.013950587302256,7.549305729026389,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
13.0,11.094260344742416,13.972078306113337,13.837759930145072,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
22.0,18.143591946360246,22.230181325863942,21.980314414920898,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
63.0,57.29710890420552,62.34125349294003,61.961451810086245,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
59.0,57.1120829651977,58.77749743302394,58.52463195420975,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
69.0,62.06718531278559,68.81773859665304,68.1813180651289,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
17.0,20.896884905715385,16.98132633609868,17.022285283593913,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
34.0,30.792594418139686,34.728394748499554,34.81950644389824,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
61.0,56.69446746657365,60.75318095142939,60.24785014716646,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
48.0,47.76233957637461,48.0295105352862,48.62675571261407,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
11.0,10.26531938621235,10.835751294941522,11.169949310166341,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
69.0,67.8001827333933,68.60338931222176,68.45623682816138,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
28.0,27.023469468956183,27.29990934423868,27.126882535054342,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
17.0,9.950881690194716,17.17096730674681,17.27301186639083,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
15.0,10.88583056668948,15.403355042361042,15.291422249922027,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
65.0,5.73651849296235,64.95410607647818,62.46730006998705,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
8.0,11.917748585696046,7.922297492331766,7.849580075811442,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
31.0,32.2770786330398,30.795659511220926,30.667704320287545,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
39.0,26.0742863209525,38.253835291078246,38.80388601428225,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
44.0,41.21879577668425,44.76191651623409,44.93209554136796,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
38.0,46.945160349578146,37.855019164567466,37.830723092236816,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
42.0,34.236201902829066,42.58506271086725,42.608219511702714,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
41.0,27.061811178283925,41.11271571565326,41.236934747210036,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
0.0,64.68055392815083,0.0,0.0,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
1.0,2.748195185187209,1.0228670628749381,1.0314557834191207,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
15.0,16.88328986300218,14.834692631203836,14.852816314530697,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
27.0,23.147782363967814,26.695246611405466,27.09119805965161,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
22.0,22.85069487230571,21.694208814798856,21.39509849135234,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
35.0,36.38380887576945,35.222346356444426,35.058374454055546,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
19.0,16.1245815605126,18.94435224620374,18.95996031884067,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
61.0,7.010084436309072,61.03620117663101,59.12963213185081,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
56.0,52.130614615736995,55.97976978079708,55.97187697838504,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
63.0,59.977905193395436,62.09668147654488,61.50674417317011,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
58.0,54.46705130088961,58.09176522349336,57.76054228829631,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
29.0,36.37990761022953,29.396015483231,26.99046258989297,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
