Target,Prediction,Prediction_SRPPHAT,Prediction_MUSIC,T60,SNR,Signal Type
53.0,52.94216028872247,53.388916453275286,53.09999101308295,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
69.0,68.86193340048784,69.04796432750476,68.9706954030271,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
38.0,38.12673311063005,37.88424093668858,38.12193783277476,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
8.0,8.104998307485477,8.101193370728028,8.21375384835844,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
18.0,18.004258912672753,18.00241233141411,18.072383242542557,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
6.0,5.920049843345364,6.204796496306348,6.4989623006539174,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
0.0,0.0,0.1791074108417273,0.0,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
59.0,58.99276402041705,58.35480097188659,57.890025554366936,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
17.0,16.860116869955775,17.244588954083962,17.027689858588424,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
18.0,17.95825312436426,18.016034138196655,18.010616333978806,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
35.0,34.78114576357905,35.113233276303646,35.83110735234266,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
12.0,11.913673320064577,11.477169425199994,12.62651076510433,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
31.0,31.149018059307235,31.423358883528717,31.06255212526031,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
40.0,40.11676634480711,40.22109434929433,40.04698891637279,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
23.0,23.107041746613785,23.23698736818924,23.074477209556992,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
15.0,14.95205130570954,14.874295688924997,15.118528129780467,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
30.0,30.008748454026453,29.828180649467026,29.776507756936567,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
6.0,5.985559257882592,5.810539745416447,5.97356877291998,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
53.0,52.95655862685977,53.528923991681594,53.17181554038028,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
59.0,59.09648369330479,58.55694110449304,58.09129129851978,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
65.0,64.9840792551189,63.910768741697474,62.83374772231007,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
