Target,Prediction,Prediction_SRPPHAT,Prediction_MUSIC,T60,SNR,Signal Type
45.0,47.76955383587492,44.47591585303855,45.71085354805633,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
22.0,32.97010082429766,21.688224036131583,21.663872785656356,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
42.0,39.79590612321256,43.11760306250663,42.98250478709995,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
39.0,37.79919825253215,38.61410108237066,38.96458250356195,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
52.0,51.92663335054734,52.208087750351176,52.17227707280252,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
47.0,51.98175917274616,46.80608417449433,47.663459876960395,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
18.0,44.17618744826276,18.135382854811777,18.59312014789936,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
27.0,27.942459554753153,27.013509325622834,26.793802878504938,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
52.0,47.77700123759585,52.10320592967852,52.27328119639811,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
57.0,63.27562746178632,56.17032025037998,56.254208882515414,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
28.0,39.28698447894736,28.446026755687107,28.454303276855462,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
70.0,64.01940816021634,70.07130154133752,69.69913734527715,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
35.0,38.208915666997946,35.014380035803995,34.86651403846548,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
48.0,45.28516892121792,48.287991245672785,48.491448033231684,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
4.0,69.08646674960436,3.830311735783355,3.720478660850439,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
54.0,58.08757541882667,53.97121892317338,53.97261293239391,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
50.0,4.601435799294589,50.23163405502248,50.416362889023624,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
7.0,8.365240577734113,7.83982117382155,7.897193649151376,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
23.0,19.99267331167161,23.750239559819697,23.70426084187037,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
65.0,4.434778869277805,62.07917461409144,62.38982353979414,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
51.0,45.733163355332366,51.76046403077987,51.89027721073904,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
59.0,57.96929551350248,57.91352339549655,57.98714095050881,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
64.0,67.69138370659182,62.47006919619566,61.880995290799376,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
21.0,44.865293648747986,20.40065675400218,20.354144836468507,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
28.0,25.10220555412427,27.85881411132132,26.443329139898694,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
29.0,27.378700110858862,28.787111073212692,28.859017669992724,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
26.0,23.077917808764433,26.489451611930146,26.044435336993207,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
50.0,52.20838607608846,49.95501717193125,50.06295747612594,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
39.0,42.25203255282239,38.969037521398285,39.03387231759811,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
47.0,38.46818014351864,47.47476272428449,47.42729529130246,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
31.0,34.47348998146204,31.49677714159977,31.102133229657436,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
8.0,12.03064219450013,8.07656186366985,8.434226738440241,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
4.0,67.90180753549393,3.6569941253350313,4.13450754785032,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
71.0,2.6738470270216683,70.49287241375008,70.81299416307178,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
47.0,51.238058621682725,46.890600184257394,47.42002479340119,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
48.0,45.99781696858958,48.7402863452551,48.86710283024292,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
33.0,38.67866167159514,33.09679172498671,33.01330147230699,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
16.0,15.84237159516068,16.195656837634136,16.103436091668037,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
64.0,67.53932986439698,63.10891971780721,63.08459403044167,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
48.0,39.8771531449627,48.30636382082995,48.352208849572925,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
29.0,24.147798005297656,29.35066376338017,28.1327019141419,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
16.0,49.34094818610697,16.086317101311824,16.105039694904395,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
28.0,30.193381002244227,28.039006050883803,27.867347927752856,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
17.0,15.107280743722233,17.123196477045425,17.14603875139683,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
3.0,9.011162290634756,3.165795259909431,2.930971029974793,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
12.0,12.494568805113335,11.650392122230583,11.769925220165904,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
8.0,71.0,8.149561848092254,8.152258868605601,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
7.0,4.555800738406745,7.188455000339468,6.572818548099922,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
57.0,55.064157518543496,57.10139536855566,57.02339249644627,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
21.0,34.21580722789393,21.00729968667372,20.961797965992616,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
10.0,70.621558255895,10.234627624402068,10.757781715864468,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
67.0,2.727235149636668,67.03054560942877,65.59849708419182,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
13.0,17.071462796042056,13.424929558896437,13.294250272626114,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
71.0,57.66149219448943,70.77135447919407,70.56048168858497,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
3.0,5.822537928299744,3.0923855152495947,3.7146487071301526,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
47.0,42.78588196975712,48.01336684776251,47.79501145809876,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['s']
5.0,71.0,6.441748907436629,6.05555539579674,"tensor([[0.5000]], dtype=torch.float64)",tensor([-255]),['n']
